,Sample Number,Sample Date,Sample Time,Sample Site,Sample class,Residual Free Chlorine (mg/L),Turbidity (NTU),Fluoride (mg/L),Coliform (Quanti-Tray) (MPN /100mL),E.coli(Quanti-Tray) (MPN/100mL)
5726,202138829,12/10/2021,10:14,1S03B,Operational,0.75,0.59,0.66,<1,<1
5727,202138830,12/10/2021,08:37,1SCH3,Operational,0.7,0.1,0.66,<1,<1
5728,202138831,12/10/2021,08:53,1SCL1,Operational,0.92,0.13,0.67,<1,<1
5729,202138832,12/10/2021,10:04,24350,Compliance,0.37,0.72,0,<1,<1
5730,202138833,12/10/2021,07:28,50200,Operational,0.41,0.66,0,<1,<1
5731,202138834,12/10/2021,07:45,50250,Compliance,0.49,0.61,0,<1,<1
5732,202138835,12/10/2021,08:02,50300,Operational,0.48,0.7,0,<1,<1
5733,202138836,12/10/2021,08:25,52050,Compliance,0.27,0.6,0,<1,<1
5734,202138837,12/10/2021,09:21,58650,Compliance,0.08,0.54,0,<1,<1
5735,202138839,12/10/2021,09:11,41900,Operational,0.51,0.72,0,<1,<1
5736,202138840,12/10/2021,12:02,45250,Compliance,0.36,0.59,0,<1,<1
5737,202138841,12/10/2021,12:40,45700,Operational,0.53,0.65,0,<1,<1
5738,202138842,12/10/2021,10:40,76550,Compliance,0.21,0.57,0,<1,<1
5739,202138843,12/10/2021,10:05,77650,Compliance,0.46,0.68,0,<1,<1
5740,202138844,12/10/2021,11:15,79450,Compliance,0.45,0.59,0,<1,<1
5741,202138893,12/11/2021,07:49,11350,Compliance,0.46,0.3,0,<1,<1
5742,202138894,12/11/2021,07:22,14350,Compliance,0.53,0.55,0,<1,<1
5743,202138895,12/11/2021,09:56,15450,Compliance,0.72,0.64,0,<1,<1
5744,202138896,12/11/2021,08:12,17450,Compliance,0.49,0.5,0,<1,<1
5745,202138897,12/11/2021,10:26,1S03,Operational,0.81,0.67,0.69,<1,<1
5746,202138898,12/11/2021,08:51,1S03A,Operational,0.77,0.66,0.7,<1,<1
5747,202138899,12/11/2021,09:31,1S03B,Operational,0.64,0.63,0.72,<1,<1
5748,202138900,12/11/2021,10:47,1SCH3,Operational,0.65,<0.10,0.68,<1,<1
5749,202138901,12/11/2021,11:15,1SCL1,Operational,0.9,0.1,0.68,<1,<1
5750,202138902,12/11/2021,09:00,20900,Operational,0.63,0.58,0,<1,<1
5751,202138903,12/11/2021,08:38,20950,Compliance,0.42,0.56,0,<1,<1
5752,202138904,12/11/2021,10:31,24450,Compliance,0.52,0.7,0,<1,<1
5753,202138905,12/11/2021,11:04,24550,Compliance,0.4,0.59,0,<1,<1
5754,202138906,12/11/2021,09:24,27000,Operational,0.55,0.61,0,<1,<1
5755,202138907,12/11/2021,09:54,27650,Compliance,0.51,0.62,0,<1,<1
5756,202138908,12/11/2021,07:57,40200,Operational,0.62,0.58,0,<1,<1
5757,202138909,12/11/2021,12:46,41050,Compliance,0.51,0.61,0,<1,<1
5758,202138910,12/11/2021,08:43,41650,Compliance,0.62,0.58,0,<1,<1
5759,202138911,12/11/2021,12:08,42150,Compliance,0.46,0.59,0,<1,<1
5760,202138912,12/11/2021,11:27,43150,Compliance,0.51,0.67,0,<1,<1
5761,202138913,12/11/2021,08:09,46350,Compliance,0.32,0.52,0,<1,<1
5762,202138914,12/11/2021,09:30,76450,Compliance,0.52,0.56,0,<1,<1
5763,202138915,12/11/2021,10:24,78550,Compliance,0.35,0.65,0,<1,<1
5764,202138928,12/11/2021,09:23,22650,Compliance,0.58,0.57,0,<1,<1
5765,202138929,12/11/2021,10:04,27450,Compliance,0.48,0.65,0,<1,<1
5766,202138930,12/11/2021,08:46,50200,Operational,0.57,0.64,0,<1,<1
5767,202138931,12/11/2021,08:13,50300,Operational,0.55,0.66,0,<1,<1
5768,202138932,12/11/2021,07:03,50750,Compliance,0.12,0.52,0,<1,<1
5769,202138933,12/11/2021,07:24,50850,Compliance,0.29,0.62,0,<1,<1
5770,202138934,12/11/2021,07:45,52150,Compliance,0.5,0.58,0,<1,<1
5771,202138936,12/11/2021,08:42,10250,Compliance,0.7,0.6,0,<1,<1
5772,202138937,12/11/2021,08:12,1S07,Operational,0.66,0.6,0,<1,<1
5773,202138938,12/11/2021,12:03,32350,Compliance,0.23,0.38,0,<1,<1
5774,202138939,12/11/2021,11:12,35550,Compliance,0.26,0.49,0,<1,<1
5775,202138940,12/11/2021,11:41,37950,Compliance,0.14,0.47,0,<1,<1
5776,202138941,12/11/2021,09:57,38150,Compliance,0.19,0.5,0,<1,<1
5777,202138942,12/11/2021,09:29,39550,Compliance,0.14,0.49,0,<1,<1
5778,202138943,12/11/2021,07:46,3SC26,Operational,0.66,<0.10,0,<1,<1
5779,202138989,12/12/2021,08:35,25150,Compliance,0.5,0.6,0,<1,<1
5780,202138990,12/12/2021,09:03,27550,Compliance,0.39,0.58,0,<1,<1
5781,202138991,12/12/2021,07:59,41450,Compliance,0.14,0.58,0,<1,<1
5782,202138992,12/12/2021,11:14,42750,Compliance,0.48,0.66,0,<1,<1
5783,202138993,12/12/2021,11:55,46950,Compliance,0.51,0.63,0,<1,<1
5784,202138994,12/12/2021,10:37,78350,Compliance,0.24,0.55,0,<1,<1
5785,202138995,12/12/2021,10:00,79150,Compliance,0.32,0.83,0,<1,<1
5786,202139004,12/12/2021,11:46,23850,Compliance,0.58,0.78,0,<1,<1
5787,202139005,12/12/2021,11:16,29050,Compliance,0.61,0.87,0,<1,<1
5788,202139006,12/12/2021,09:58,29450,Compliance,0.5,0.68,0,<1,<1
5789,202139007,12/12/2021,08:00,50200,Operational,0.52,0.6,0,<1,<1
5790,202139008,12/12/2021,07:12,50300,Operational,0.56,0.63,0,<1,<1
5791,202139009,12/12/2021,08:21,51850,Compliance,0.44,0.48,0,<1,<1
5792,202139010,12/12/2021,09:03,55450,Compliance,0.13,0.49,0,<1,<1
5793,202139011,12/12/2021,07:37,58950,Compliance,0.43,0.55,0,<1,<1
5794,202139012,12/12/2021,12:30,15050,Compliance,0.53,0.68,0,<1,<1
5795,202139013,12/12/2021,11:40,1S07,Operational,0.65,0.74,0,<1,<1
5796,202139014,12/12/2021,08:24,30250,Compliance,0.29,0.48,0,<1,<1
5797,202139015,12/12/2021,08:59,32650,Compliance,0.04,0.43,0,<1,<1
5798,202139016,12/12/2021,09:56,34850,Compliance,0.42,0.57,0,<1,<1
5799,202139017,12/12/2021,10:52,35150,Compliance,0.59,0.52,0,<1,<1
5800,202139018,12/12/2021,10:23,36350,Compliance,0.41,0.16,0,<1,<1
5801,202139019,12/12/2021,11:14,3SC26,Operational,0.62,0.1,0,<1,<1
5802,202139020,12/12/2021,07:48,20900,Operational,0.63,0.59,0,<1,<1
5803,202139021,12/12/2021,07:10,26750,Compliance,0.43,0.51,0,<1,<1
5804,202139022,12/12/2021,08:18,27000,Operational,0.55,0.63,0,<1,<1
5805,202139023,12/12/2021,08:45,27850,Compliance,0.46,0.58,0,<1,<1
5806,202139024,12/12/2021,10:03,40200,Operational,0.69,0.74,0,<1,<1
5807,202139025,12/12/2021,10:29,40650,Compliance,0.59,0.85,0,<1,<1
5808,202139026,12/12/2021,09:21,44250,Compliance,0.3,0.55,0,<1,<1
5809,202139027,12/12/2021,12:37,10150,Compliance,0.46,0.48,0,<1,<1
5810,202139028,12/12/2021,11:50,11750,Compliance,0.19,0.1,0,<1,<1
5811,202139029,12/12/2021,11:04,12150,Compliance,0.74,0.81,0,<1,<1
5812,202139030,12/12/2021,08:54,16250,Compliance,0.64,0.6,0,<1,<1
5813,202139031,12/12/2021,08:16,1S03,Operational,0.76,0.65,0.69,<1,<1
5814,202139032,12/12/2021,10:04,1S03A,Operational,0.76,0.68,0.69,<1,<1
5815,202139033,12/12/2021,09:29,1S03B,Operational,0.71,0.66,0.65,<1,<1
5816,202139034,12/12/2021,07:35,1SCH3,Operational,0.71,0.1,0.66,<1,<1
5817,202139035,12/12/2021,07:48,1SCL1,Operational,0.81,0.14,0.65,<1,<1
5818,202139286,12/12/2021,09:21,32650,Compliance,0.25,0.48,0,<1,<1
5819,202139067,12/13/2021,11:34,20750,Compliance,0.33,0.59,0,<1,<1
5820,202139068,12/13/2021,07:38,21750,Compliance,0.15,0.45,0,<1,<1
5821,202139069,12/13/2021,08:09,22250,Compliance,0.56,0.56,0,<1,<1
5822,202139070,12/13/2021,10:11,22700,Operational,0.61,0.55,0,<1,<1
5823,202139071,12/13/2021,11:12,22950,Compliance,0.33,0.62,0,<1,<1
5824,202139072,12/13/2021,10:39,26500,Operational,0.62,0.51,0,<1,<1
5825,202139073,12/13/2021,08:48,26850,Compliance,0.54,0.57,0,<1,<1
5826,202139074,12/13/2021,08:53,27000,Operational,0.54,0.63,0,<1,<1
5827,202139075,12/13/2021,09:28,27750,Compliance,0.39,0.55,0,<1,<1
5828,202139076,12/13/2021,10:15,40200,Operational,0.71,0.68,0,<1,<1
5829,202139077,12/13/2021,10:50,40750,Compliance,0.64,0.63,0,<1,<1
5830,202139078,12/13/2021,11:22,40800,Operational,0.63,0.65,0,<1,<1
5831,202139079,12/13/2021,12:02,41100,Operational,0.54,0.67,0,<1,<1
5832,202139080,12/13/2021,10:20,50200,Operational,0.65,0.64,0,<1,<1
5833,202139081,12/13/2021,10:57,50300,Operational,0.68,0.65,0,<1,<1
5834,202139082,12/13/2021,09:45,51100,Operational,0.5,0.67,0,<1,<1
5835,202139083,12/13/2021,08:56,51450,Compliance,0.37,0.46,0,<1,<1
5836,202139084,12/13/2021,08:25,56000,Operational,0.41,0.65,0,<1,<1
5837,202139085,12/13/2021,07:33,57750,Compliance,0.54,0.59,0,<1,<1
5838,202139094,12/13/2021,10:47,11250,Compliance,0.75,0.6,0,<1,<1
5839,202139095,12/13/2021,10:30,13900,Operational,0.63,0.68,0,<1,<1
5840,202139096,12/13/2021,11:54,17650,Compliance,0.72,0.67,0,<1,<1
5841,202139097,12/13/2021,11:27,18100,Operational,0.71,0.59,0,<1,<1
5842,202139098,12/13/2021,08:49,1S07,Operational,0.62,0.6,0,<1,<1
5843,202139099,12/13/2021,09:55,31200,Operational,0.61,0.6,0,<1,<1
5844,202139100,12/13/2021,09:40,3SC26,Operational,0.6,0.1,0,<1,<1
5845,202139105,12/13/2021,11:52,21550,Compliance,0.42,0.57,0,<1,<1
5846,202139106,12/13/2021,09:43,44450,Compliance,0.17,0.53,0,<1,<1
5847,202139107,12/13/2021,11:55,46150,Compliance,0.13,0.56,0,<1,<1
5848,202139108,12/13/2021,12:55,47550,Compliance,0.23,0.63,0,<1,<1
5849,202139109,12/13/2021,08:49,47850,Compliance,0.19,0.57,0,<1,<1
5850,202139110,12/13/2021,10:43,76150,Compliance,0.37,0.58,0,<1,<1
5851,202139111,12/13/2021,11:09,78150,Compliance,0.41,0.61,0,<1,<1
5852,202139112,12/13/2021,12:35,10750,Compliance,0.71,0.73,0,<1,<1
5853,202139113,12/13/2021,10:38,17350,Compliance,0.46,<0.10,0,<1,<1
5854,202139114,12/13/2021,09:02,1S03,Operational,0.82,0.6,0.69,<1,<1
5855,202139115,12/13/2021,12:03,1S03A,Operational,0.79,0.65,0.69,<1,<1
5856,202139116,12/13/2021,11:32,1S03B,Operational,0.85,0.6,0.68,<1,<1
5857,202139117,12/13/2021,09:42,1SCH3,Operational,0.68,<0.10,0.66,<1,<1
5858,202139118,12/13/2021,09:52,1SCL1,Operational,0.74,0.15,0.66,<1,<1
5859,202139120,12/13/2021,08:19,20900,Operational,0.57,0.56,0,<1,<1
5860,202139121,12/13/2021,08:50,30150,Compliance,0.18,0.38,0,<1,<1
5861,202139122,12/13/2021,09:53,31050,Compliance,0.34,0.54,0,<1,<1
5862,202139123,12/13/2021,11:58,31650,Compliance,0.25,0.54,0,<1,<1
5863,202139124,12/13/2021,10:43,31950,Compliance,0.43,0.63,0,<1,<1
5864,202139125,12/13/2021,11:33,33550,Compliance,0.28,0.45,0,<1,<1
5865,202139126,12/13/2021,12:36,37450,Compliance,0.4,0.54,0,<1,<1
5866,202139289,12/13/2021,09:16,47850,Compliance,0.37,0.62,0,<1,<1
5867,202139290,12/13/2021,09:17,30150,Compliance,0.26,0.33,0,<1,<1
5868,202139291,12/13/2021,10:08,44450,Compliance,0.2,0.53,0,<1,<1
5869,202139165,12/14/2021,10:27,20900,Operational,0.42,0.65,0,<1,<1
5870,202139167,12/14/2021,09:09,22050,Compliance,0.31,0.58,0,<1,<1
5871,202139168,12/14/2021,09:42,27000,Operational,0.45,0.73,0,<1,<1
5872,202139169,12/14/2021,08:32,41350,Compliance,0.39,0.6,0,<1,<1
5873,202139170,12/14/2021,11:56,43600,Operational,0.38,0.61,0,<1,<1
5874,202139171,12/14/2021,12:10,43750,Compliance,0.32,0.8,0,<1,<1
5875,202139172,12/14/2021,08:41,11550,Compliance,0.57,0.68,0,<1,<1
5876,202139173,12/14/2021,11:52,19000,Operational,0.46,0.61,0,<1,<1
5877,202139174,12/14/2021,10:07,1S03,Operational,0.66,0.59,0.71,<1,<1
5878,202139175,12/14/2021,09:18,1S03A,Operational,0.63,0.68,0.71,<1,<1
5879,202139176,12/14/2021,10:30,1SCH3,Operational,0.66,0.1,0.68,<1,<1
5880,202139177,12/14/2021,10:44,1SCL1,Operational,0.74,0.15,0.67,<1,<1
5881,202139178,12/14/2021,12:57,41150,Compliance,0.22,0.73,0,<1,<1
5882,202139179,12/14/2021,11:18,41850,Compliance,0.39,0.66,0,<1,<1
5883,202139180,12/14/2021,12:18,44750,Compliance,0.2,0.62,0,<1,<1
5884,202139181,12/14/2021,08:47,47500,Operational,0.44,0.62,0,<1,<1
5885,202139182,12/14/2021,11:50,76650,Compliance,0.12,0.62,0,<1,<1
5886,202139183,12/14/2021,10:28,78050,Compliance,0.23,0.57,0,<1,<1
5887,202139184,12/14/2021,09:39,78850,Compliance,0.38,0.66,0,<1,<1
5888,202139185,12/14/2021,08:24,30950,Compliance,0.22,0.53,0,<1,<1
5889,202139186,12/14/2021,09:27,32400,Operational,0.31,0.53,0,<1,<1
5890,202139187,12/14/2021,08:58,32550,Compliance,0.27,0.54,0,<1,<1
5891,202139188,12/14/2021,11:13,34550,Compliance,0.49,0.11,0,<1,<1
5892,202139189,12/14/2021,10:34,35750,Compliance,0.42,0.72,0,<1,<1
5893,202139190,12/14/2021,09:58,39750,Compliance,0.3,0.53,0,<1,<1
5894,202139191,12/14/2021,07:36,21850,Compliance,0.49,0.69,0,<1,<1
5895,202139192,12/14/2021,08:51,22400,Operational,0.55,0.62,0,<1,<1
5896,202139193,12/14/2021,10:45,23350,Compliance,0.24,0.55,0,<1,<1
5897,202139194,12/14/2021,09:39,23650,Compliance,0.1,0.54,0,<1,<1
5898,202139195,12/14/2021,12:01,24150,Compliance,0.44,0.64,0,<1,<1
5899,202139196,12/14/2021,11:26,25250,Compliance,0.39,0.65,0,<1,<1
5900,202139197,12/14/2021,08:15,29550,Compliance,0.49,0.63,0,<1,<1
5901,202139216,12/14/2021,10:00,50200,Operational,0.51,0.67,0,<1,<1
5902,202139217,12/14/2021,09:42,50250,Compliance,0.48,0.69,0,<1,<1
5903,202139218,12/14/2021,09:21,50300,Operational,0.58,0.67,0,<1,<1
5904,202139219,12/14/2021,10:24,50650,Compliance,0.5,0.62,0,<1,<1
5905,202139220,12/14/2021,08:46,51150,Compliance,0.36,0.65,0,<1,<1
5906,202139221,12/14/2021,07:17,56200,Operational,0.12,0.6,0,<1,<1
5907,202139227,12/14/2021,10:22,13850,Compliance,0.42,0.54,0,<1,<1
5908,202139228,12/14/2021,09:45,15550,Compliance,0.6,0.1,0,<1,<1
5909,202139229,12/14/2021,12:14,17550,Compliance,0.41,0.1,0,<1,<1
5910,202139230,12/14/2021,11:53,18200,Operational,0.48,0.1,0,<1,<1
5911,202139231,12/14/2021,11:21,1S07,Operational,0.44,0.68,0,<1,<1
5912,202139232,12/14/2021,10:49,3SC26,Operational,0.57,0.11,0,<1,<1
5913,202139233,12/14/2021,12:49,40200,Operational,0.52,0.63,0,<1,<1
5914,202139243,12/14/2021,11:47,1S03B,Operational,0.68,0.66,0.7,<1,<1
5915,202139312,12/15/2021,10:38,10850,Compliance,0.31,0.58,0,<1,<1
5916,202139313,12/15/2021,08:47,13050,Compliance,0.32,0.69,0,<1,<1
5917,202139314,12/15/2021,08:23,18000,Operational,0.51,0.1,0,<1,<1
5918,202139315,12/15/2021,11:45,1S03,Operational,0.67,0.6,0.67,<1,<1
5919,202139316,12/15/2021,09:22,1S03A,Operational,0.69,0.65,0.66,<1,<1
5920,202139317,12/15/2021,10:05,1S03B,Operational,0.66,0.61,0.67,<1,<1
5921,202139318,12/15/2021,10:59,1SCH3,Operational,0.67,0.1,0.65,<1,<1
5922,202139319,12/15/2021,11:17,1SCL1,Operational,0.78,0.15,0.64,<1,<1
5923,202139324,12/15/2021,12:39,43650,Compliance,0.27,0.56,0,<1,<1
5924,202139325,12/15/2021,09:16,44950,Compliance,0.42,0.62,0,<1,<1
5925,202139326,12/15/2021,11:51,45050,Compliance,0.31,0.65,0,<1,<1
5926,202139327,12/15/2021,09:55,45650,Compliance,0.32,0.59,0,<1,<1
5927,202139328,12/15/2021,11:20,76300,Operational,0.12,0.5,0,<1,<1
5928,202139329,12/15/2021,08:36,76750,Compliance,0.22,0.55,0,<1,<1
5929,202139330,12/15/2021,10:47,79050,Compliance,0.29,0.63,0,<1,<1
5930,202139331,12/15/2021,09:31,33700,Operational,0.44,<0.10,0,<1,<1
5931,202139332,12/15/2021,10:29,40150,Compliance,0.93,0.63,0,<1,<1
5932,202139333,12/15/2021,10:53,40200,Operational,0.93,0.62,0,<1,<1
5933,202139334,12/15/2021,11:52,42300,Operational,0.46,0.62,0,<1,<1
5934,202139335,12/15/2021,11:25,44350,Compliance,0.45,0.63,0,<1,<1
5935,202139337,12/15/2021,10:07,50200,Operational,0.53,0.61,0,<1,<1
5936,202139338,12/15/2021,10:35,50300,Operational,0.61,0.64,0,<1,<1
5937,202139339,12/15/2021,09:34,51350,Compliance,0.22,0.54,0,<1,<1
5938,202139340,12/15/2021,09:12,52000,Operational,0.3,0.58,0,<1,<1
5939,202139341,12/15/2021,08:10,52450,Compliance,0.48,0.6,0,<1,<1
5940,202139342,12/15/2021,07:46,58150,Compliance,0.43,0.64,0,<1,<1
5941,202139343,12/15/2021,11:23,20050,Compliance,0.31,0.61,0,<1,<1
5942,202139344,12/15/2021,10:48,23550,Compliance,0.35,0.6,0,<1,<1
5943,202139345,12/15/2021,09:45,24300,Operational,0.47,0.65,0,<1,<1
5944,202139346,12/15/2021,08:24,29350,Compliance,0.27,0.6,0,<1,<1
5945,202139347,12/15/2021,08:58,29500,Operational,0.48,0.71,0,<1,<1
5946,202139348,12/15/2021,12:00,29850,Compliance,0.34,0.62,0,<1,<1
5947,202139350,12/15/2021,10:42,20900,Operational,0.54,0.67,0,<1,<1
5948,202139351,12/15/2021,09:40,21150,Compliance,0.35,0.62,0,<1,<1
5949,202139352,12/15/2021,08:19,21450,Compliance,0.39,0.64,0,<1,<1
5950,202139353,12/15/2021,08:57,27000,Operational,0.48,0.68,0,<1,<1
5951,202139354,12/15/2021,11:10,30050,Compliance,0.3,0.67,0,<1,<1
5952,202139355,12/15/2021,12:01,32950,Compliance,0.28,0.39,0,<1,<1
5953,202139361,12/15/2021,09:01,13350,Compliance,0.54,0.5,0,<1,<1
5954,202139362,12/15/2021,08:37,17750,Compliance,0.5,0.59,0,<1,<1
5955,202139363,12/15/2021,09:30,1S07,Operational,0.53,0.63,0,<1,<1
5956,202139364,12/15/2021,09:59,32150,Compliance,0.35,0.46,0,<1,<1
5957,202139365,12/15/2021,09:46,34650,Compliance,0.25,0.46,0,<1,<1
5958,202139366,12/15/2021,10:44,35350,Compliance,0.41,0.21,0,<1,<1
5959,202139367,12/15/2021,10:13,38300,Operational,0.22,0.41,0,<1,<1
5960,202139368,12/15/2021,10:23,3SC26,Operational,0.55,0.11,0,<1,<1
5961,202139406,12/15/2021,10:12,21100,Operational,0.47,0.67,0,<1,<1
5962,202139414,12/16/2021,09:02,20900,Operational,0.4,0.72,0,<1,<1
5963,202139415,12/16/2021,11:24,21350,Compliance,0.32,0.64,0,<1,<1
5964,202139416,12/16/2021,10:16,26950,Compliance,0.34,0.74,0,<1,<1
5965,202139417,12/16/2021,09:42,27000,Operational,0.5,0.67,0,<1,<1
5966,202139418,12/16/2021,08:17,30350,Compliance,0.24,0.47,0,<1,<1
5967,202139432,12/16/2021,09:26,34150,Compliance,0.39,0.55,0,<1,<1
5968,202139433,12/16/2021,11:12,35000,Operational,0.37,0.58,0,<1,<1
5969,202139434,12/16/2021,10:01,35050,Compliance,0.5,0.11,0,<1,<1
5970,202139435,12/16/2021,10:37,38650,Compliance,0.32,0.58,0,<1,<1
5971,202139436,12/16/2021,08:50,3SC26,Operational,0.61,0.15,0,<1,<1
5972,202139441,12/16/2021,09:23,40200,Operational,0.36,0.7,0,<1,<1
5973,202139442,12/16/2021,08:55,40300,Operational,0.36,0.69,0,<1,<1
5974,202139443,12/16/2021,08:09,40850,Compliance,0.42,0.67,0,<1,<1
5975,202139444,12/16/2021,08:35,42350,Compliance,0.36,0.74,0,<1,<1
5976,202139445,12/16/2021,11:16,40950,Compliance,0.4,0.66,0,<1,<1
5977,202139446,12/16/2021,08:54,42950,Compliance,0.42,0.69,0,<1,<1
5978,202139447,12/16/2021,10:09,43950,Compliance,0.03,0.51,0,<1,<1
5979,202139448,12/16/2021,09:42,77050,Compliance,0.05,0.46,0,<1,<1
5980,202139449,12/16/2021,09:20,77650,Compliance,0.27,0.64,0,<1,<1
5981,202139450,12/16/2021,08:54,50200,Operational,0.52,0.73,0,<1,<1
5982,202139451,12/16/2021,09:20,50300,Operational,0.58,0.74,0,<1,<1
5983,202139452,12/16/2021,07:51,51050,Compliance,0.22,0.67,0,<1,<1
5984,202139453,12/16/2021,07:23,58350,Compliance,0.35,0.74,0,<1,<1
5985,202139454,12/16/2021,06:56,58400,Operational,0.24,0.59,0,<1,<1
5986,202139455,12/16/2021,08:26,59350,Compliance,0.4,0.65,0,<1,<1
5987,202139456,12/16/2021,07:59,10550,Compliance,0.34,0.14,0,<1,<1
5988,202139457,12/16/2021,08:36,17050,Compliance,0.21,0.46,0,<1,<1
5989,202139458,12/16/2021,09:17,1S03A,Operational,0.66,0.7,0.65,<1,<1
5990,202139459,12/16/2021,09:51,1S03B,Operational,0.56,0.67,0.66,<1,<1
5991,202139460,12/16/2021,09:53,13550,Compliance,0.47,0.44,0,<1,<1
5992,202139461,12/16/2021,10:27,13600,Operational,0.74,0.66,0,<1,<1
5993,202139462,12/16/2021,08:43,1S03,Operational,0.43,0.63,0.67,<1,<1
5994,202139463,12/16/2021,09:07,1SCH3,Operational,0.64,0.11,0.63,<1,<1
5995,202139464,12/16/2021,09:17,1SCL1,Operational,0.78,0.17,0.64,<1,<1
5996,202139465,12/16/2021,10:03,10250,Compliance,0.47,0.69,0,<1,<1
5997,202139466,12/16/2021,08:58,18450,Compliance,0.65,0.74,0,<1,<1
5998,202139467,12/16/2021,10:17,1S07,Operational,0.46,0.72,0,<1,<1
5999,202139468,12/16/2021,09:42,34050,Compliance,0.43,0.5,0,<1,<1
6000,202139470,12/16/2021,08:17,21050,Compliance,0.45,0.76,0,<1,<1
6001,202139471,12/16/2021,07:33,21950,Compliance,0.48,0.68,0,<1,<1
6002,202139472,12/16/2021,09:25,24650,Compliance,0.16,0.58,0,<1,<1
6003,202139473,12/16/2021,11:03,24700,Operational,0.48,0.64,0,<1,<1
6004,202139474,12/16/2021,08:43,24950,Compliance,0.16,0.58,0,<1,<1
6005,202139475,12/16/2021,10:07,25950,Compliance,0.36,0.63,0,<1,<1
6006,202139528,12/17/2021,10:04,20900,Operational,0.47,0.67,0,<1,<1
6007,202139529,12/17/2021,10:34,27000,Operational,0.49,0.7,0,<1,<1
6008,202139530,12/17/2021,09:28,29300,Operational,0.78,0.69,0,<1,<1
6009,202139531,12/17/2021,11:29,36950,Compliance,0.24,0.52,0,<1,<1
6010,202139532,12/17/2021,12:25,40250,Compliance,0.51,0.66,0,<1,<1
6011,202139533,12/17/2021,11:53,40350,Compliance,0.5,0.66,0,<1,<1
6012,202139542,12/17/2021,08:09,30550,Compliance,0.17,0.49,0,<1,<1
6013,202139543,12/17/2021,08:38,31450,Compliance,0.25,0.38,0,<1,<1
6014,202139544,12/17/2021,09:08,31550,Compliance,0.2,0.54,0,<1,<1
6015,202139545,12/17/2021,09:26,31750,Compliance,0.21,0.61,0,<1,<1
6016,202139546,12/17/2021,10:32,33050,Compliance,0.44,0.57,0,<1,<1
6017,202139547,12/17/2021,09:58,34300,Operational,0.3,0.59,0,<1,<1
6018,202139548,12/17/2021,10:56,39950,Compliance,0.32,0.6,0,<1,<1
6019,202139553,12/17/2021,10:01,42100,Operational,0.17,0.6,0,<1,<1
6020,202139554,12/17/2021,12:00,46100,Operational,0.28,0.67,0,<1,<1
6021,202139555,12/17/2021,11:25,46250,Compliance,0.06,0.69,0,<1,<1
6022,202139556,12/17/2021,08:49,47150,Compliance,0.05,0.67,0,<1,<1
6023,202139557,12/17/2021,11:10,47650,Compliance,0.62,0.62,0,<1,<1
6024,202139558,12/17/2021,12:35,77750,Compliance,0.05,0.46,0,<1,<1
6025,202139559,12/17/2021,10:39,79550,Compliance,0.3,0.61,0,<1,<1
6026,202139560,12/17/2021,12:22,20150,Compliance,0.35,0.7,0,<1,<1
6027,202139561,12/17/2021,10:53,50200,Operational,0.55,0.59,0,<1,<1
6028,202139562,12/17/2021,11:13,50300,Operational,0.64,0.65,0,<1,<1
6029,202139563,12/17/2021,11:13,53550,Compliance,0.31,0.57,0,<1,<1
6030,202139564,12/17/2021,09:49,58250,Compliance,0.32,0.65,0,<1,<1
6031,202139565,12/17/2021,09:22,58600,Operational,0.42,0.65,0,<1,<1
6032,202139566,12/17/2021,10:26,59050,Compliance,0.49,0.68,0,<1,<1
6033,202139567,12/17/2021,10:53,11750,Compliance,0.28,0.16,0,<1,<1
6034,202139568,12/17/2021,07:38,17950,Compliance,0.71,0.15,0,<1,<1
6035,202139569,12/17/2021,08:53,1S03,Operational,0.66,0.65,0.68,<1,<1
6036,202139570,12/17/2021,10:12,1S03A,Operational,0.69,0.76,0.68,<1,<1
6037,202139571,12/17/2021,09:38,1S03B,Operational,0.55,0.73,0.69,<1,<1
6038,202139572,12/17/2021,08:17,1SCH3,Operational,0.63,0.12,0.66,<1,<1
6039,202139573,12/17/2021,08:30,1SCL1,Operational,0.8,0.14,0.65,<1,<1
6040,202139574,12/17/2021,08:46,12000,Operational,0.52,0.13,0,<1,<1
6041,202139575,12/17/2021,08:36,14100,Operational,0.43,0.51,0,<1,<1
6042,202139576,12/17/2021,08:14,15250,Compliance,0.37,0.52,0,<1,<1
6043,202139577,12/17/2021,07:40,16150,Compliance,0.37,0.63,0,<1,<1
6044,202139578,12/17/2021,09:31,1S07,Operational,0.32,0.8,0,<1,<1
6045,202139579,12/17/2021,09:10,3SC26,Operational,0.48,0.1,0,<1,<1
6046,202139580,12/17/2021,10:08,40200,Operational,0.52,0.74,0,<1,<1
6047,202139582,12/17/2021,11:16,20650,Compliance,0.29,0.64,0,<1,<1
6048,202139583,12/17/2021,08:05,21000,Operational,0.35,0.65,0,<1,<1
6049,202139584,12/17/2021,09:52,22750,Compliance,0.38,0.63,0,<1,<1
6050,202139585,12/17/2021,09:21,23200,Operational,0.39,0.69,0,<1,<1
6051,202139586,12/17/2021,10:35,24750,Compliance,0.33,0.64,0,<1,<1
6052,202139587,12/17/2021,08:44,27350,Compliance,0.28,0.65,0,<1,<1
6053,202139588,12/17/2021,07:43,28050,Compliance,0.33,0.55,0,<1,<1
6054,202139635,12/18/2021,10:31,22350,Compliance,0.33,0.64,0,<1,<1
